"filename", "language", "JavaScript", "Vue", "XML", "CSS", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\cart\Cart.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\category\Category.vue", "Vue", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\Detail.vue", "Vue", 0, 77, 0, 0, 0, 0, 0, 11, 17, 105
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailBaseInfo.vue", "Vue", 0, 97, 0, 0, 0, 0, 0, 0, 5, 102
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailGoodsInfo.vue", "Vue", 0, 94, 0, 0, 0, 0, 0, 0, 12, 106
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailNavBar.vue", "Vue", 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailParamInfo.vue", "Vue", 0, 63, 0, 0, 0, 0, 0, 0, 3, 66
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailShopInfo.vue", "Vue", 0, 138, 0, 0, 0, 0, 0, 1, 4, 143
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailSwiper.vue", "Vue", 0, 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\home\Home.vue", "Vue", 0, 166, 0, 0, 0, 0, 0, 26, 12, 204
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\home\childComps\FeatureView.vue", "Vue", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\home\childComps\HomeSwiper.vue", "Vue", 0, 42, 0, 0, 0, 0, 0, 1, 4, 47
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\home\childComps\RecommendView.vue", "Vue", 0, 41, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\profile\Profile.vue", "Vue", 0, 54, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\vue.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"Total", "-", 157, 1523, 157, 191, 16, 11315, 23, 240, 303, 13925
